               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071627,            0.021156,             0.09227,           0.0047619,             0.99826,            0.039809,             0.01363,            0.030633,           0.0072803,            0.062845,            0.070181,           0.0033133,           0.0033133
                   1,             0.04539,            0.015507,            0.084092,             0.56209,             0.12129,             0.12089,            0.052682,            0.028272,           0.0043408,            0.063837,            0.040115,           0.0065808,           0.0065808
                   2,            0.042165,            0.013283,            0.081424,             0.78807,            0.097216,             0.16352,            0.087902,            0.022866,           0.0041457,            0.064699,           0.0099831,           0.0097823,           0.0097823
                   3,            0.040123,            0.012754,            0.077717,             0.56495,             0.27054,             0.23969,             0.13645,            0.022786,           0.0043712,            0.063281,            0.009703,            0.009703,            0.009703
                   4,            0.037874,            0.012091,            0.071635,             0.74678,             0.27332,             0.31593,              0.2028,            0.017406,           0.0039127,            0.062737,            0.009703,            0.009703,            0.009703
                   5,            0.036896,            0.012078,            0.065321,             0.52539,              0.5059,              0.4088,             0.25464,            0.020541,           0.0041028,            0.064259,            0.009604,            0.009604,            0.009604
                   6,            0.035831,            0.011603,            0.059845,             0.61827,             0.38392,             0.41359,             0.28381,            0.018432,            0.005096,            0.063466,            0.009505,            0.009505,            0.009505
                   7,            0.035632,            0.011484,            0.054614,             0.61408,             0.49228,             0.52615,             0.35817,            0.018275,           0.0039969,            0.059942,            0.009406,            0.009406,            0.009406
                   8,            0.034889,            0.011179,            0.050594,             0.52347,             0.60477,             0.48587,             0.35923,            0.016769,           0.0038184,            0.061708,            0.009307,            0.009307,            0.009307
                   9,            0.033117,            0.011041,            0.047149,               0.642,             0.56453,             0.60137,             0.43154,             0.01575,           0.0037398,            0.059844,            0.009208,            0.009208,            0.009208
                  10,            0.034017,            0.011113,            0.043268,             0.59444,              0.6599,             0.58178,             0.42088,            0.016274,            0.003821,            0.062173,            0.009109,            0.009109,            0.009109
                  11,            0.033233,            0.011221,            0.041217,             0.76661,             0.58532,             0.64139,             0.46111,            0.016067,           0.0041815,             0.05781,             0.00901,             0.00901,             0.00901
                  12,            0.033759,            0.010904,            0.038284,              0.6977,             0.63056,             0.64045,              0.4495,             0.01861,           0.0041898,            0.057766,            0.008911,            0.008911,            0.008911
                  13,            0.032508,            0.010942,             0.03602,             0.70447,             0.69996,             0.70275,             0.53443,            0.015726,           0.0039247,            0.058783,            0.008812,            0.008812,            0.008812
                  14,            0.033196,            0.011005,            0.035395,             0.63013,             0.69404,             0.64108,              0.4859,            0.016112,           0.0040601,            0.058111,            0.008713,            0.008713,            0.008713
                  15,            0.033426,            0.010688,            0.032239,             0.73142,             0.68247,             0.68443,             0.50189,            0.018043,           0.0042498,            0.059226,            0.008614,            0.008614,            0.008614
                  16,            0.032553,             0.01052,            0.030222,              0.7238,             0.72576,             0.70999,              0.5334,            0.015851,            0.003984,            0.055949,            0.008515,            0.008515,            0.008515
                  17,            0.032807,            0.010497,            0.029098,             0.77665,             0.68773,              0.7021,             0.51485,             0.01715,           0.0042824,            0.057132,            0.008416,            0.008416,            0.008416
                  18,            0.032372,            0.010474,            0.027697,             0.74559,             0.73024,             0.72947,              0.5642,            0.015922,           0.0039046,            0.059265,            0.008317,            0.008317,            0.008317
                  19,            0.032094,             0.01074,             0.02516,             0.74694,             0.72723,             0.67586,             0.49651,            0.016738,           0.0040411,            0.060706,            0.008218,            0.008218,            0.008218
                  20,            0.032193,            0.010335,             0.02433,             0.77106,             0.70223,             0.71689,             0.53021,            0.016234,           0.0041122,            0.057563,            0.008119,            0.008119,            0.008119
                  21,            0.031026,            0.010737,            0.023607,             0.81647,              0.6889,             0.73288,             0.53458,            0.016261,            0.003803,            0.058459,             0.00802,             0.00802,             0.00802
                  22,            0.030629,            0.010573,            0.022731,             0.88417,             0.68363,             0.74421,             0.56312,            0.015108,             0.00383,            0.055476,            0.007921,            0.007921,            0.007921
                  23,            0.031038,            0.010416,            0.022448,             0.87503,              0.6866,             0.73542,             0.56458,            0.014433,           0.0037153,            0.057746,            0.007822,            0.007822,            0.007822
                  24,            0.031188,            0.010566,            0.020068,             0.86392,             0.71553,             0.74739,             0.57953,            0.016238,           0.0043571,            0.057573,            0.007723,            0.007723,            0.007723
                  25,            0.030726,             0.01031,            0.019909,             0.90561,             0.69154,             0.73981,             0.52921,            0.016203,            0.004202,            0.058154,            0.007624,            0.007624,            0.007624
                  26,            0.031054,            0.010464,            0.020042,             0.86608,             0.70277,             0.74356,             0.55871,            0.015699,           0.0039088,            0.056508,            0.007525,            0.007525,            0.007525
                  27,            0.030391,            0.010329,            0.019642,             0.84124,             0.70324,              0.7434,              0.5498,            0.015658,           0.0040388,            0.064195,            0.007426,            0.007426,            0.007426
                  28,            0.030374,           0.0099858,            0.019197,             0.87609,              0.7371,             0.74932,             0.58846,            0.014558,           0.0039974,            0.059114,            0.007327,            0.007327,            0.007327
                  29,            0.029275,            0.010334,            0.017881,             0.85198,             0.70934,             0.72221,             0.55998,            0.015353,            0.003872,            0.059623,            0.007228,            0.007228,            0.007228
                  30,            0.029716,            0.010166,            0.017804,             0.84279,             0.71987,             0.70978,             0.56057,            0.013688,           0.0037767,            0.058671,            0.007129,            0.007129,            0.007129
                  31,            0.029125,           0.0098711,             0.01588,             0.86895,             0.72582,             0.73642,             0.57834,            0.013538,           0.0036505,            0.060289,             0.00703,             0.00703,             0.00703
                  32,            0.029453,           0.0097961,            0.016629,             0.83586,             0.71874,             0.70718,             0.54558,             0.01464,           0.0039432,            0.061006,            0.006931,            0.006931,            0.006931
                  33,            0.028795,           0.0099696,            0.015712,             0.89678,             0.69882,             0.75763,             0.57208,            0.016044,           0.0038408,            0.057254,            0.006832,            0.006832,            0.006832
                  34,              0.0292,           0.0098311,            0.016752,             0.89775,             0.70673,             0.75092,             0.59232,            0.014761,           0.0047335,            0.061406,            0.006733,            0.006733,            0.006733
                  35,             0.02882,           0.0097865,            0.014781,             0.89743,             0.73135,             0.75405,             0.60167,            0.012922,           0.0037311,            0.057964,            0.006634,            0.006634,            0.006634
                  36,            0.027654,           0.0097411,            0.015151,             0.85139,              0.7216,             0.75298,             0.59559,            0.013489,           0.0036262,            0.061106,            0.006535,            0.006535,            0.006535
                  37,            0.028483,           0.0095587,            0.014127,             0.88323,             0.67765,             0.75743,             0.59359,             0.01437,           0.0048186,            0.063428,            0.006436,            0.006436,            0.006436
                  38,            0.027698,           0.0098085,            0.014635,             0.87893,             0.73616,             0.75715,             0.62568,            0.012549,           0.0035802,            0.059223,            0.006337,            0.006337,            0.006337
                  39,            0.027587,            0.009664,            0.013597,             0.84592,             0.73013,             0.74248,             0.59255,             0.01353,           0.0037833,             0.06231,            0.006238,            0.006238,            0.006238
                  40,            0.027756,           0.0096882,            0.012901,             0.86735,             0.73272,             0.76161,             0.61776,            0.012084,           0.0035451,            0.060904,            0.006139,            0.006139,            0.006139
                  41,            0.027337,           0.0097017,            0.013014,             0.87464,             0.75205,             0.74954,             0.59001,            0.014384,           0.0041703,            0.063162,             0.00604,             0.00604,             0.00604
                  42,            0.027977,           0.0095442,            0.012658,             0.84428,             0.75672,             0.74884,             0.60789,            0.012781,           0.0037125,            0.058116,            0.005941,            0.005941,            0.005941
                  43,            0.027313,           0.0094433,            0.012125,             0.85338,             0.73989,             0.73463,             0.59154,             0.01334,           0.0034582,            0.062448,            0.005842,            0.005842,            0.005842
                  44,            0.027207,           0.0095333,            0.012825,             0.86648,              0.7442,             0.73861,             0.59438,             0.01268,           0.0037497,            0.061157,            0.005743,            0.005743,            0.005743
                  45,             0.02695,            0.009415,            0.010848,             0.84972,             0.75877,             0.73433,             0.60456,            0.012245,           0.0035881,            0.060219,            0.005644,            0.005644,            0.005644
                  46,            0.026811,           0.0093841,            0.011132,             0.89679,             0.73845,             0.77398,             0.64091,            0.012538,           0.0036638,            0.061028,            0.005545,            0.005545,            0.005545
                  47,            0.026152,           0.0093027,            0.010581,             0.87867,              0.7269,              0.7635,             0.61893,             0.01321,           0.0039902,            0.062581,            0.005446,            0.005446,            0.005446
